id,DBO_mg/L,DQO_mg/L,SST_mg/L,COLI_FEC_NMP_100mL,E_COLI_NMP_100mL,OD_PORC,SEMAFORO,NUM_SEMAFORO,GROUP
0,2,15.385,11.835,41.5,30,100.4,Verde,3,2
1,6.035,31.9928,33.125,3803.5,219.5,96.55,Amarillo,1,2
6,2.84,21.32,10,1722,62,98.2,Amarillo,1,2
7,5.765,22.99,18,4600,4600,53.5,Amarillo,1,2
8,9.625,43.585,28,24000,24000,34.975,Rojo,2,1
9,15.3,52.9,28,11000,17500,48.95,Rojo,2,0
10,3.09,19.97,12,40,40,73.73,Verde,3,2
11,2,10,10,1499,384,89.35,Amarillo,1,2
12,2,10,10,283.5,206,78.8,Verde,3,2
13,5.58,39.92,14.175,5172,925,52.8,Amarillo,1,2
14,4.92,23.14,20,430,116.5,74.98,Verde,3,2
15,5.19,23.86,16,155,91.5,75.4,Verde,3,2
16,11,47,18,11000,4600,79.8,Rojo,2,0
17,2,15.23,10,1903,110,93.5,Amarillo,1,2
18,2,16.99,17.75,4269,377.5,92.25,Amarillo,1,2
19,37.95,109.62,32.9,24196,24196,13.5,Rojo,2,1
21,2,10,10,3,3,76.05,Verde,3,2
22,81,160.375,65,14300,925,21,Rojo,2,0
23,2550.96,7632,2265,19675,815,10,Rojo,2,0
24,76.67,201.5,150,24000,11000,15,Rojo,2,0
25,5,47.31,16,24000,1800,29.55,Rojo,2,0
26,583,1659,822.5,2419600,2419600,10,Rojo,2,1
27,31.11,99.525,21.5,24000,11000,10,Rojo,2,0
28,221,499.075,115,241960,191800,10,Rojo,2,1
29,18,67.33,13,24000,4600,10,Rojo,2,0
30,43.5,159.125,39.5,24000,11000,33.6,Rojo,2,0
31,10,44,10,430,320,62.45,Rojo,2,2
32,154,364,130,24000,24000,14.45,Rojo,2,1
36,2,18.31,10,1550,120,102.6,Amarillo,1,2
37,2,10,11.5,2400,97,74.3,Amarillo,1,2
41,2,10,10,90,90,105.75,Verde,3,2
42,16.9,71.06,70,24196,24196,39.1,Rojo,2,1
43,12.6,55.82,74.12,11199,3076,66.43,Rojo,2,0
44,2.28,17.13,14,535,430,78.8,Verde,3,2
