NOMBRE_SITIO,DBO_TOT,DQO_TOT,COLI_FEC,E_COLI,OD_%,SST,group
 DESCARGA DE CERVECERIA,4.2,53,230,90,99.5,10,2
 DESCARGA DE CERVECERIA,3.29,39.86,4600,1500,90.3,11,2
 DESCARGA DE CERVECERIA,9,30,93,93,95.3,11,2
 DESCARGA DE CERVECERIA,6.91,38.43,4600,4600,101.9,11.67,2
 DESCARGA DE CERVECERIA,16.5,53,11000,11000,93.8,12,2
 DESCARGA DE CERVECERIA,12,28,240,240,98.7,12,2
 DESCARGA DE CERVECERIA,12,30,11000,11000,82.9,17,2
 DESCARGA DE CERVECERIA,5.5,57,2400,2400,97.8,18,2
 DESCARGA DE CERVECERIA,5.3,74,40,40,98.1,18,2
 DESCARGA DE CERVECERIA,3.1,72,11000,11000,97.2,21,2
 DESCARGA DE CERVECERIA,10,36,1500,1500,98.4,26,2
 DESCARGA DE CERVECERIA,18,3336,2400,2400,104.7,42,2
 DESCARGA DE CERVECERIA,6.4,50,11000,4600,121.3,49,2
 DESCARGA DE CERVECERIA,4.87,81.52,11000,11000,92.2,74.5,2
100 M AGUAS ABAJO DE LA PRESA FALCON,6,16,43,23,81.2,15,2
100 M AGUAS ABAJO DE LA PRESA FALCON,2.5,14,430,430,103.2,19,2
100 M AGUAS ABAJO DE LA PRESA FALCON,4.29,23.05,40,40,87.3,29.67,2
100M. AGUAS ABAJO DE LA DESCARGA MUNICIPAL,2.8,31.7856,160,63,95.3,22,2
100M. AGUAS ABAJO DE LA DESCARGA MUNICIPAL,7.37,35.02,605,452,91.1,30.5,2
100M. AGUAS ABAJO DE LA DESCARGA MUNICIPAL,4.21,54.94,6131,4884,61.3,32.5,2
100M. AGUAS ABAJO DE LA DESCARGA MUNICIPAL,7.46,13.872,4352,345,126.7,33.75,2
100M. AGUAS ABAJO DE LA DESCARGA MUNICIPAL,6.8,32.2,9804,238,127.6,36.3,2
100M. AGUAS ABAJO DE LA DESCARGA MUNICIPAL,6.3,44.44,3255,243,100.3,41,2
100M. AGUAS ABAJO DE LA DESCARGA MUNICIPAL,6.2,42.64,6131,135,85.7,42,2
100M. AGUAS ABAJO DE LA DESCARGA MUNICIPAL,2.19,25.048,8164,201,77.1,56.429,2
A LA ALTURA DEL POBLADO DE HUAJICORI,5.2,12.48,3076,598,98.2,102,2
A LA ALTURA DEL POBLADO DE HUAJICORI,4.24,79.56,17329,4106,86.8,106,0
A LA ALTURA DEL POBLADO DE HUAJICORI,11.9,119.2,14136,609,74.1,136,2
A LA ALTURA DEL POBLADO DE HUAJICORI,3.29,56.28,9804,262,91.2,137,2
A LA ALTURA DEL POBLADO DE HUAJICORI,4.79,57.368,19863,197,94.5,230,0
A LA ALTURA DEL POBLADO DE HUAJICORI,6.58,156.96,81640,2990,92.7,2420,0
A.A DE LA PRESA MADIN,13.74,40.02,430,430,34,12,2
A.A DE LA PRESA MADIN,11.34,48.96,2400,2400,74.5,12,2
A.A DE LA PRESA MADIN,8.88,30.26,430,430,95,12,2
A.A DE LA PRESA MADIN,33.12,35.33,280,280,92.4,16,2
A.A DE LA PRESA MADIN,20.82,25.65,110,110,50.4,32,2
A.A DE LA PRESA MADIN,5.8,14.52,4600,4600,90.4,32,2
A.A DE LA PRESA MADIN,3,24.2,110,110,38.3,38,2
A.A DE LA PRESA MADIN,2.1,32.16,11000,11000,58.3,80,2
A.A DE LA PRESA MADIN,4.68,104.33,70,70,86.9,88,2
